1
title
ne	np	nb
22924	11563	202
connectivities
          1	        405	        179	        406	          1
          2	        405	        178	        179	          1
          3	        187	        407	        186	          1
          4	        201	        473	        200	          1
          5	        198	        199	        414	          1
          6	       1502	        182	        183	          1
          7	        418	        185	        186	          1
          8	        407	        418	        186	          1
          9	        453	        426	        175	          1
         10	        198	       1500	        197	          1
         11	        841	        472	        232	          1
         12	        471	        472	        473	          1
         13	        841	        880	        414	          1
         14	        880	        841	        232	          1
         15	        473	        408	        200	          1
         16	        408	        199	        200	          1
         17	        472	        408	        473	          1
         18	        408	        472	        841	          1
         19	        199	        408	        414	          1
         20	        408	        841	        414	          1
         21	        194	        411	        193	          1
         22	        452	        194	        195	          1
         23	        196	        449	        195	          1
         24	        879	        425	        856	          1
         25	        445	        425	        605	          1
         26	        425	        445	        446	          1
         27	        425	        877	        856	          1
         28	        877	        425	        446	          1
         29	        179	        842	        406	          1
         30	        180	        842	        179	          1
         31	        459	       1510	        908	          1
         32	        415	        184	        185	          1
         33	        417	        418	        407	          1
         34	        851	        417	        214	          1
         35	       1530	        407	        187	          1
         36	        268	        471	        427	          1
         37	        944	        220	        207	          1
         38	        471	        410	        427	          1
         39	        410	        426	        427	          1
         40	        201	        410	        473	          1
         41	        410	        471	        473	          1
         42	       1500	        840	        197	          1
         43	        840	        196	        197	          1
         44	        443	        879	        856	          1
         45	        879	        443	        878	          1
         46	        840	        443	        856	          1
         47	        443	        840	       1500	          1
         48	       1503	        198	        414	          1
         49	       1503	       1500	        198	          1
         50	       1503	        443	       1500	          1
         51	        475	        880	        232	          1
         52	        221	        475	        265	          1
         53	        475	        221	        880	          1
         54	        429	        192	        193	          1
         55	        451	        411	        194	          1
         56	        452	        451	        194	          1
         57	        191	        412	        190	          1
         58	        849	        467	        876	          1
         59	        849	       1530	        467	          1
         60	        203	       2673	        434	          1
         61	        203	        210	        886	          1
         62	       2673	        466	        434	          1
         63	        450	        452	        195	          1
         64	        449	        450	        195	          1
         65	        206	        450	       1501	          1
         66	        450	        206	        452	          1
         67	        206	        451	        452	          1
         68	        206	        899	        208	          1
         69	        451	        206	        208	          1
         70	        893	        388	        915	          1
         71	        444	        445	        237	          1
         72	        445	        444	        446	          1
         73	        858	        405	        406	          1
         74	        858	        421	        405	          1
         75	        882	        842	        459	          1
         76	        940	        882	        459	          1
         77	        842	        882	        406	          1
         78	        941	        459	        908	          1
         79	        941	        940	        459	          1
         80	        842	       1499	        459	          1
         81	       1499	       1510	        459	          1
         82	       1499	        842	        180	          1
         83	        181	       1499	        180	          1
         84	       1499	        181	       1510	          1
         85	       1510	        460	        908	          1
         86	        184	        838	        183	          1
         87	        415	        838	        184	          1
         88	        838	        415	        215	          1
         89	        216	        417	        851	          1
         90	       1530	        438	        407	          1
         91	        438	        853	        214	          1
         92	        438	        849	        853	          1
         93	        849	        438	       1530	          1
         94	        417	        438	        214	          1
         95	        438	        417	        407	          1
         96	        467	        465	        876	          1
         97	        465	        466	        876	          1
